official_full,first,middle,last,birthday,gender,start,end,state,district,party
Ken Calvert,Ken,S.,Calvert,1953-06-08,M,2013-01-03,2015-01-03,CA,42,Republican
Dave Camp,Dave,Lee,Camp,1953-07-09,M,2013-01-03,2015-01-03,MI,4,Republican
John Campbell,John,Bayard Taylor,Campbell,1955-07-19,M,2013-01-03,2015-01-03,CA,45,Republican
Eric Cantor,Eric,I.,Cantor,1963-06-06,M,2013-01-03,2015-01-03,VA,7,Republican
Shelley Moore Capito,Shelley,Moore,Capito,1953-11-26,F,2013-01-03,2015-01-03,WV,2,Republican
Lois Capps,Lois,,Capps,1938-01-10,F,2013-01-03,2015-01-03,CA,24,Democrat
Michael E. Capuano,Michael,E.,Capuano,1952-01-09,M,2013-01-03,2015-01-03,MA,7,Democrat
John C. Carney Jr.,John,C.,Carney,1956-05-20,M,2013-01-03,2015-01-03,DE,0,Democrat
André Carson,André,,Carson,1974-10-16,M,2013-01-03,2015-01-03,IN,7,Democrat
John R. Carter,John,R.,Carter,1941-11-06,M,2013-01-03,2015-01-03,TX,31,Republican
Bill Cassidy,Bill,,Cassidy,1957-09-28,M,2013-01-03,2015-01-03,LA,6,Republican
Kathy Castor,Kathy,,Castor,1966-08-20,F,2013-01-03,2015-01-03,FL,14,Democrat
Steve Chabot,Steve,J.,Chabot,1953-01-22,M,2013-01-03,2015-01-03,OH,1,Republican
Jason Chaffetz,Jason,,Chaffetz,1967-03-26,M,2013-01-03,2015-01-03,UT,3,Republican
Donna M. Christensen,Donna,M.,Christensen,1945-09-19,F,2013-01-03,2015-01-03,VI,0,Democrat
Judy Chu,Judy,M.,Chu,1953-07-07,F,2013-01-03,2015-01-03,CA,27,Democrat
David N. Cicilline,David,N.,Cicilline,1961-07-15,M,2013-01-03,2015-01-03,RI,1,Democrat
Yvette D. Clarke,Yvette,D.,Clarke,1964-11-21,F,2013-01-03,2015-01-03,NY,9,Democrat
Wm. Lacy Clay,Wm.,Lacy,Clay,1956-07-27,M,2013-01-03,2015-01-03,MO,1,Democrat
Emanuel Cleaver,Emanuel,,Cleaver,1944-10-26,M,2013-01-03,2015-01-03,MO,5,Democrat
James E. Clyburn,James,E.,Clyburn,1940-07-21,M,2013-01-03,2015-01-03,SC,6,Democrat
Howard Coble,Howard,,Coble,1931-03-18,M,2013-01-03,2015-01-03,NC,6,Republican
Mike Coffman,Mike,,Coffman,1955-03-19,M,2013-01-03,2015-01-03,CO,6,Republican
Steve Cohen,Steve,,Cohen,1949-05-24,M,2013-01-03,2015-01-03,TN,9,Democrat
Tom Cole,Tom,,Cole,1949-04-28,M,2013-01-03,2015-01-03,OK,4,Republican
K. Michael Conaway,K.,Michael,Conaway,1948-06-11,M,2013-01-03,2015-01-03,TX,11,Republican
Gerald E. Connolly,Gerald,E.,Connolly,1950-03-30,M,2013-01-03,2015-01-03,VA,11,Democrat
John Conyers Jr.,John,,Conyers,1929-05-16,M,2013-01-03,2015-01-03,MI,13,Democrat
Jim Cooper,Jim,,Cooper,1954-06-19,M,2013-01-03,2015-01-03,TN,5,Democrat
Jim Costa,Jim,,Costa,1952-04-13,M,2013-01-03,2015-01-03,CA,16,Democrat
Joe Courtney,Joe,,Courtney,1953-04-06,M,2013-01-03,2015-01-03,CT,2,Democrat
"Eric A. ""Rick"" Crawford",Eric,A.,Crawford,1966-01-22,M,2013-01-03,2015-01-03,AR,1,Republican
Ander Crenshaw,Ander,,Crenshaw,1944-09-01,M,2013-01-03,2015-01-03,FL,4,Republican
Joseph Crowley,Joseph,,Crowley,1962-03-16,M,2013-01-03,2015-01-03,NY,14,Democrat
Henry Cuellar,Henry,,Cuellar,1955-09-19,M,2013-01-03,2015-01-03,TX,28,Democrat
John Abney Culberson,John,Abney,Culberson,1956-08-24,M,2013-01-03,2015-01-03,TX,7,Republican
Elijah E. Cummings,Elijah,E.,Cummings,1951-01-18,M,2013-01-03,2015-01-03,MD,7,Democrat
Danny K. Davis,Danny,K.,Davis,1941-09-06,M,2013-01-03,2015-01-03,IL,7,Democrat
Susan A. Davis,Susan,A.,Davis,1944-04-13,F,2013-01-03,2015-01-03,CA,53,Democrat
Peter A. DeFazio,Peter,A.,DeFazio,1947-05-27,M,2013-01-03,2015-01-03,OR,4,Democrat
Diana DeGette,Diana,L.,DeGette,1957-07-29,F,2013-01-03,2015-01-03,CO,1,Democrat
Rosa L. DeLauro,Rosa,L.,DeLauro,1943-03-02,F,2013-01-03,2015-01-03,CT,3,Democrat
Jeff Denham,Jeff,,Denham,1967-07-29,M,2013-01-03,2015-01-03,CA,10,Republican
Charles W. Dent,Charles,W.,Dent,1960-05-24,M,2013-01-03,2015-01-03,PA,15,Republican
Scott DesJarlais,Scott,,DesJarlais,1964-02-21,M,2013-01-03,2015-01-03,TN,4,Republican
Theodore E. Deutch,Theodore,E.,Deutch,1966-05-07,M,2013-01-03,2015-01-03,FL,21,Democrat
Mario Diaz-Balart,Mario,,Diaz-Balart,1961-09-25,M,2013-01-03,2015-01-03,FL,25,Republican
John D. Dingell,John,D.,Dingell,1926-07-08,M,2013-01-03,2015-01-03,MI,12,Democrat
Lloyd Doggett,Lloyd,A.,Doggett,1946-10-06,M,2013-01-03,2015-01-03,TX,35,Democrat
Michael F. Doyle,Michael,F.,Doyle,1953-08-05,M,2013-01-03,2015-01-03,PA,14,Democrat
Sean P. Duffy,Sean,P.,Duffy,1971-10-03,M,2013-01-03,2015-01-03,WI,7,Republican
Jeff Duncan,Jeff,,Duncan,1966-01-07,M,2013-01-03,2015-01-03,SC,3,Republican
John J. Duncan Jr.,John,J.,Duncan,1947-07-21,M,2013-01-03,2015-01-03,TN,2,Republican
Donna F. Edwards,Donna,F.,Edwards,1958-06-28,F,2013-01-03,2015-01-03,MD,4,Democrat
Keith Ellison,Keith,Maurice,Ellison,1963-08-04,M,2013-01-03,2015-01-03,MN,5,Democrat
Renee L. Ellmers,Renee,L.,Ellmers,1964-02-09,F,2013-01-03,2015-01-03,NC,2,Republican
Eliot L. Engel,Eliot,L.,Engel,1947-02-18,M,2013-01-03,2015-01-03,NY,16,Democrat
Anna G. Eshoo,Anna,G.,Eshoo,1942-12-13,F,2013-01-03,2015-01-03,CA,18,Democrat
Eni F. H. Faleomavaega,Eni,F. H.,Faleomavaega,1943-08-15,M,2013-01-03,2015-01-03,AS,0,Democrat
Blake Farenthold,Blake,,Farenthold,1962-12-12,M,2013-01-03,2015-01-03,TX,27,Republican
Sam Farr,Sam,,Farr,1941-07-04,M,2013-01-03,2015-01-03,CA,20,Democrat
Chaka Fattah,Chaka,,Fattah,1956-11-21,M,2013-01-03,2015-01-03,PA,2,Democrat
Stephen Lee Fincher,Stephen,Lee,Fincher,1973-02-07,M,2013-01-03,2015-01-03,TN,8,Republican
Michael G. Fitzpatrick,Michael,G.,Fitzpatrick,1963-06-28,M,2013-01-03,2015-01-03,PA,8,Republican
"Charles J. ""Chuck"" Fleischmann",Charles,J.,Fleischmann,1962-10-11,M,2013-01-03,2015-01-03,TN,3,Republican
John Fleming,John,,Fleming,1951-07-05,M,2013-01-03,2015-01-03,LA,4,Republican
Bill Flores,Bill,,Flores,1954-02-25,M,2013-01-03,2015-01-03,TX,17,Republican
J. Randy Forbes,J.,Randy,Forbes,1952-02-17,M,2013-01-03,2015-01-03,VA,4,Republican
Jeff Fortenberry,Jeff,Lane,Fortenberry,1960-12-27,M,2013-01-03,2015-01-03,NE,1,Republican
Virginia Foxx,Virginia,,Foxx,1943-06-29,F,2013-01-03,2015-01-03,NC,5,Republican
Trent Franks,Trent,,Franks,1957-06-19,M,2013-01-03,2015-01-03,AZ,8,Republican
Rodney P. Frelinghuysen,Rodney,P.,Frelinghuysen,1946-04-29,M,2013-01-03,2015-01-03,NJ,11,Republican
Marcia L. Fudge,Marcia,L.,Fudge,1952-10-29,F,2013-01-03,2015-01-03,OH,11,Democrat
John Garamendi,John,,Garamendi,1945-01-24,M,2013-01-03,2015-01-03,CA,3,Democrat
Cory Gardner,Cory,,Gardner,1974-08-22,M,2013-01-03,2015-01-03,CO,4,Republican
Scott Garrett,Scott,,Garrett,1959-07-09,M,2013-01-03,2015-01-03,NJ,5,Republican
Jim Gerlach,Jim,,Gerlach,1955-02-25,M,2013-01-03,2015-01-03,PA,6,Republican
Bob Gibbs,Bob,,Gibbs,1954-06-14,M,2013-01-03,2015-01-03,OH,7,Republican
Christopher P. Gibson,Christopher,P.,Gibson,1964-05-13,M,2013-01-03,2015-01-03,NY,19,Republican
Phil Gingrey,Phil,,Gingrey,1942-07-10,M,2013-01-03,2015-01-03,GA,11,Republican
Louie Gohmert,Louie,B.,Gohmert,1953-08-18,M,2013-01-03,2015-01-03,TX,1,Republican
Bob Goodlatte,Bob,W.,Goodlatte,1952-09-22,M,2013-01-03,2015-01-03,VA,6,Republican
Paul A. Gosar,Paul,A.,Gosar,1958-11-22,M,2013-01-03,2015-01-03,AZ,4,Republican
Trey Gowdy,Trey,,Gowdy,1964-08-22,M,2013-01-03,2015-01-03,SC,4,Republican
Kay Granger,Kay,,Granger,1943-01-18,F,2013-01-03,2015-01-03,TX,12,Republican
Sam Graves,Sam,B.,Graves,1963-11-07,M,2013-01-03,2015-01-03,MO,6,Republican
Tom Graves,Tom,,Graves,1970-02-03,M,2013-01-03,2015-01-03,GA,14,Republican
Al Green,Al,,Green,1947-09-01,M,2013-01-03,2015-01-03,TX,9,Democrat
Gene Green,Gene,Eugene,Green,1947-10-17,M,2013-01-03,2015-01-03,TX,29,Democrat
Tim Griffin,Tim,,Griffin,1968-08-21,M,2013-01-03,2015-01-03,AR,2,Republican
H. Morgan Griffith,H.,Morgan,Griffith,1958-03-15,M,2013-01-03,2015-01-03,VA,9,Republican
Raúl M. Grijalva,Raúl,M.,Grijalva,1948-02-19,M,2013-01-03,2015-01-03,AZ,3,Democrat
Michael G. Grimm,Michael,G.,Grimm,1970-02-07,M,2013-01-03,2015-01-03,NY,11,Republican
Brett Guthrie,Brett,,Guthrie,1964-02-18,M,2013-01-03,2015-01-03,KY,2,Republican
Luis V. Gutiérrez,Luis,V.,Gutiérrez,1953-12-10,M,2013-01-03,2015-01-03,IL,4,Democrat
Ralph M. Hall,Ralph,M.,Hall,1923-05-03,M,2013-01-03,2015-01-03,TX,4,Republican
Colleen W. Hanabusa,Colleen,W.,Hanabusa,1951-05-04,F,2013-01-03,2015-01-03,HI,1,Democrat
Richard L. Hanna,Richard,L.,Hanna,1951-01-25,M,2013-01-03,2015-01-03,NY,22,Republican
Gregg Harper,Gregg,,Harper,1956-06-01,M,2013-01-03,2015-01-03,MS,3,Republican
Andy Harris,Andy,,Harris,1957-01-25,M,2013-01-03,2015-01-03,MD,1,Republican
Vicky Hartzler,Vicky,,Hartzler,1960-10-13,F,2013-01-03,2015-01-03,MO,4,Republican
Alcee L. Hastings,Alcee,L.,Hastings,1936-09-05,M,2013-01-03,2015-01-03,FL,20,Democrat
Doc Hastings,Doc,,Hastings,1941-02-07,M,2013-01-03,2015-01-03,WA,4,Republican
Joseph J. Heck,Joseph,J.,Heck,1961-10-30,M,2013-01-03,2015-01-03,NV,3,Republican
Jeb Hensarling,Jeb,,Hensarling,1957-05-29,M,2013-01-03,2015-01-03,TX,5,Republican
Jaime Herrera Beutler,Jaime,,Herrera Beutler,1978-11-03,F,2013-01-03,2015-01-03,WA,3,Republican
Brian Higgins,Brian,M.,Higgins,1959-10-06,M,2013-01-03,2015-01-03,NY,26,Democrat
James A. Himes,James,A.,Himes,1966-07-05,M,2013-01-03,2015-01-03,CT,4,Democrat
Rubén Hinojosa,Rubén,E.,Hinojosa,1940-08-20,M,2013-01-03,2015-01-03,TX,15,Democrat
Rush Holt,Rush,D.,Holt,1948-10-15,M,2013-01-03,2015-01-03,NJ,12,Democrat
Michael M. Honda,Michael,M.,Honda,1941-06-27,M,2013-01-03,2015-01-03,CA,17,Democrat
Steny H. Hoyer,Steny,H.,Hoyer,1939-06-14,M,2013-01-03,2015-01-03,MD,5,Democrat
Tim Huelskamp,Tim,,Huelskamp,1968-11-11,M,2013-01-03,2015-01-03,KS,1,Republican
Bill Huizenga,Bill,,Huizenga,1969-01-31,M,2013-01-03,2015-01-03,MI,2,Republican
Randy Hultgren,Randy,,Hultgren,1966-03-01,M,2013-01-03,2015-01-03,IL,14,Republican
Duncan Hunter,Duncan,D.,Hunter,1976-12-07,M,2013-01-03,2015-01-03,CA,50,Republican
Robert Hurt,Robert,,Hurt,1969-06-16,M,2013-01-03,2015-01-03,VA,5,Republican
Steve Israel,Steve,J.,Israel,1958-05-30,M,2013-01-03,2015-01-03,NY,3,Democrat
Darrell E. Issa,Darrell,E.,Issa,1953-11-01,M,2013-01-03,2015-01-03,CA,49,Republican
Sheila Jackson Lee,Sheila,,Jackson Lee,1950-01-12,F,2013-01-03,2015-01-03,TX,18,Democrat
Lynn Jenkins,Lynn,,Jenkins,1963-06-10,F,2013-01-03,2015-01-03,KS,2,Republican
Bill Johnson,Bill,,Johnson,1954-11-10,M,2013-01-03,2015-01-03,OH,6,Republican
Eddie Bernice Johnson,Eddie,Bernice,Johnson,1935-12-03,F,2013-01-03,2015-01-03,TX,30,Democrat
"Henry C. ""Hank"" Johnson Jr.",Henry,C.,Johnson,1954-10-02,M,2013-01-03,2015-01-03,GA,4,Democrat
Sam Johnson,Sam,Robert,Johnson,1930-10-11,M,2013-01-03,2015-01-03,TX,3,Republican
Walter B. Jones,Walter,B.,Jones,1943-02-10,M,2013-01-03,2015-01-03,NC,3,Republican
Jim Jordan,Jim,,Jordan,1964-02-17,M,2013-01-03,2015-01-03,OH,4,Republican
Marcy Kaptur,Marcy,,Kaptur,1946-06-17,F,2013-01-03,2015-01-03,OH,9,Democrat
William R. Keating,William,R.,Keating,1952-09-06,M,2013-01-03,2015-01-03,MA,9,Democrat
Mike Kelly,Mike,,Kelly,1948-05-10,M,2013-01-03,2015-01-03,PA,3,Republican
Ron Kind,Ron,James,Kind,1963-03-16,M,2013-01-03,2015-01-03,WI,3,Democrat
Peter T. King,Peter,T.,King,1944-04-05,M,2013-01-03,2015-01-03,NY,2,Republican
Steve King,Steve,A.,King,1949-05-28,M,2013-01-03,2015-01-03,IA,4,Republican
Jack Kingston,Jack,,Kingston,1955-04-24,M,2013-01-03,2015-01-03,GA,1,Republican
Adam Kinzinger,Adam,,Kinzinger,1978-02-27,M,2013-01-03,2015-01-03,IL,16,Republican
John Kline,John,Paul,Kline,1947-09-06,M,2013-01-03,2015-01-03,MN,2,Republican
Raúl R. Labrador,Raúl,R.,Labrador,1967-12-08,M,2013-01-03,2015-01-03,ID,1,Republican
Doug Lamborn,Doug,,Lamborn,1954-05-24,M,2013-01-03,2015-01-03,CO,5,Republican
Leonard Lance,Leonard,,Lance,1952-06-25,M,2013-01-03,2015-01-03,NJ,7,Republican
James R. Langevin,James,R.,Langevin,1964-04-22,M,2013-01-03,2015-01-03,RI,2,Democrat
James Lankford,James,,Lankford,1968-03-04,M,2013-01-03,2015-01-03,OK,5,Republican
Rick Larsen,Rick,,Larsen,1965-06-15,M,2013-01-03,2015-01-03,WA,2,Democrat
John B. Larson,John,B.,Larson,1948-07-22,M,2013-01-03,2015-01-03,CT,1,Democrat
Tom Latham,Tom,P.,Latham,1948-07-14,M,2013-01-03,2015-01-03,IA,3,Republican
Robert E. Latta,Robert,E.,Latta,1956-04-18,M,2013-01-03,2015-01-03,OH,5,Republican
Barbara Lee,Barbara,,Lee,1946-07-16,F,2013-01-03,2015-01-03,CA,13,Democrat
Sander M. Levin,Sander,M.,Levin,1931-09-06,M,2013-01-03,2015-01-03,MI,9,Democrat
John Lewis,John,R.,Lewis,1940-02-21,M,2013-01-03,2015-01-03,GA,5,Democrat
Daniel Lipinski,Daniel,William,Lipinski,1966-07-15,M,2013-01-03,2015-01-03,IL,3,Democrat
Frank A. LoBiondo,Frank,A.,LoBiondo,1946-05-12,M,2013-01-03,2015-01-03,NJ,2,Republican
David Loebsack,David,,Loebsack,1952-12-23,M,2013-01-03,2015-01-03,IA,2,Democrat
Zoe Lofgren,Zoe,,Lofgren,1947-12-21,F,2013-01-03,2015-01-03,CA,19,Democrat
Billy Long,Billy,,Long,1955-08-11,M,2013-01-03,2015-01-03,MO,7,Republican
Nita M. Lowey,Nita,M.,Lowey,1937-07-05,F,2013-01-03,2015-01-03,NY,17,Democrat
Frank D. Lucas,Frank,D.,Lucas,1960-01-06,M,2013-01-03,2015-01-03,OK,3,Republican
Blaine Luetkemeyer,Blaine,,Luetkemeyer,1952-05-07,M,2013-01-03,2015-01-03,MO,3,Republican
Ben Ray Luján,Ben,Ray,Luján,1972-06-07,M,2013-01-03,2015-01-03,NM,3,Democrat
Cynthia M. Lummis,Cynthia,M.,Lummis,1954-09-10,F,2013-01-03,2015-01-03,WY,0,Republican
Stephen F. Lynch,Stephen,F.,Lynch,1955-03-31,M,2013-01-03,2015-01-03,MA,8,Democrat
Carolyn B. Maloney,Carolyn,B.,Maloney,1946-02-19,F,2013-01-03,2015-01-03,NY,12,Democrat
Kenny Marchant,Kenny,Ewell,Marchant,1951-02-23,M,2013-01-03,2015-01-03,TX,24,Republican
Tom Marino,Tom,,Marino,1952-08-15,M,2013-01-03,2015-01-03,PA,10,Republican
Jim Matheson,Jim,,Matheson,1960-03-21,M,2013-01-03,2015-01-03,UT,4,Democrat
Doris O. Matsui,Doris,O.,Matsui,1944-09-25,F,2013-01-03,2015-01-03,CA,6,Democrat
Carolyn McCarthy,Carolyn,,McCarthy,1944-01-05,F,2013-01-03,2015-01-03,NY,4,Democrat
Kevin McCarthy,Kevin,,McCarthy,1965-01-26,M,2013-01-03,2015-01-03,CA,23,Republican
Michael T. McCaul,Michael,T.,McCaul,1962-01-14,M,2013-01-03,2015-01-03,TX,10,Republican
Tom McClintock,Tom,,McClintock,1956-07-10,M,2013-01-03,2015-01-03,CA,4,Republican
Betty McCollum,Betty,Louise,McCollum,1954-07-12,F,2013-01-03,2015-01-03,MN,4,Democrat
Jim McDermott,Jim,A.,McDermott,1936-12-28,M,2013-01-03,2015-01-03,WA,7,Democrat
James P. McGovern,James,P.,McGovern,1959-11-20,M,2013-01-03,2015-01-03,MA,2,Democrat
Patrick T. McHenry,Patrick,T.,McHenry,1975-10-22,M,2013-01-03,2015-01-03,NC,10,Republican
Mike McIntyre,Mike,,McIntyre,1956-08-06,M,2013-01-03,2015-01-03,NC,7,Democrat
"Howard P. ""Buck"" McKeon",Howard,P.,McKeon,1938-09-09,M,2013-01-03,2015-01-03,CA,25,Republican
David B. McKinley,David,B.,McKinley,1947-03-28,M,2013-01-03,2015-01-03,WV,1,Republican
Cathy McMorris Rodgers,Cathy,,McMorris Rodgers,1969-05-22,F,2013-01-03,2015-01-03,WA,5,Republican
Jerry McNerney,Jerry,,McNerney,1951-06-18,M,2013-01-03,2015-01-03,CA,9,Democrat
Patrick Meehan,Patrick,,Meehan,1955-10-20,M,2013-01-03,2015-01-03,PA,7,Republican
Gregory W. Meeks,Gregory,W.,Meeks,1953-09-25,M,2013-01-03,2015-01-03,NY,5,Democrat
John L. Mica,John,L.,Mica,1943-01-27,M,2013-01-03,2015-01-03,FL,7,Republican
Michael H. Michaud,Michael,H.,Michaud,1955-01-18,M,2013-01-03,2015-01-03,ME,2,Democrat
Candice S. Miller,Candice,S.,Miller,1954-05-07,F,2013-01-03,2015-01-03,MI,10,Republican
Gary G. Miller,Gary,G.,Miller,1948-10-16,M,2013-01-03,2015-01-03,CA,31,Republican
George Miller,George,,Miller,1945-05-17,M,2013-01-03,2015-01-03,CA,11,Democrat
Jeff Miller,Jeff,,Miller,1959-06-27,M,2013-01-03,2015-01-03,FL,1,Republican
Gwen Moore,Gwen,,Moore,1951-04-18,F,2013-01-03,2015-01-03,WI,4,Democrat
James P. Moran,James,P.,Moran,1945-05-16,M,2013-01-03,2015-01-03,VA,8,Democrat
Mick Mulvaney,Mick,,Mulvaney,1967-07-21,M,2013-01-03,2015-01-03,SC,5,Republican
Tim Murphy,Tim,,Murphy,1952-09-11,M,2013-01-03,2015-01-03,PA,18,Republican
Jerrold Nadler,Jerrold,L.,Nadler,1947-06-13,M,2013-01-03,2015-01-03,NY,10,Democrat
Grace F. Napolitano,Grace,F.,Napolitano,1936-12-04,F,2013-01-03,2015-01-03,CA,32,Democrat
Richard E. Neal,Richard,E.,Neal,1949-02-14,M,2013-01-03,2015-01-03,MA,1,Democrat
Randy Neugebauer,Randy,,Neugebauer,1949-12-24,M,2013-01-03,2015-01-03,TX,19,Republican
Kristi L. Noem,Kristi,L.,Noem,1971-11-30,F,2013-01-03,2015-01-03,SD,0,Republican
Eleanor Holmes Norton,Eleanor,Holmes,Norton,1937-06-13,F,2013-01-03,2015-01-03,DC,0,Democrat
Richard B. Nugent,Richard,B.,Nugent,1951-05-26,M,2013-01-03,2015-01-03,FL,11,Republican
Devin Nunes,Devin,G.,Nunes,1973-10-01,M,2013-01-03,2015-01-03,CA,22,Republican
Alan Nunnelee,Alan,,Nunnelee,1958-10-09,M,2013-01-03,2015-01-03,MS,1,Republican
Pete Olson,Pete,,Olson,1962-12-09,M,2013-01-03,2015-01-03,TX,22,Republican
William L. Owens,William,L.,Owens,1949-01-20,M,2013-01-03,2015-01-03,NY,21,Democrat
Steven M. Palazzo,Steven,M.,Palazzo,1970-02-21,M,2013-01-03,2015-01-03,MS,4,Republican
Frank Pallone Jr.,Frank,J.,Pallone,1951-10-30,M,2013-01-03,2015-01-03,NJ,6,Democrat
Bill Pascrell Jr.,Bill,J.,Pascrell,1937-01-25,M,2013-01-03,2015-01-03,NJ,9,Democrat
Ed Pastor,Ed,,Pastor,1943-06-28,M,2013-01-03,2015-01-03,AZ,7,Democrat
Erik Paulsen,Erik,,Paulsen,1965-05-14,M,2013-01-03,2015-01-03,MN,3,Republican
Stevan Pearce,Stevan,E.,Pearce,1947-08-24,M,2013-01-03,2015-01-03,NM,2,Republican
Nancy Pelosi,Nancy,,Pelosi,1940-03-26,F,2013-01-03,2015-01-03,CA,12,Democrat
Ed Perlmutter,Ed,,Perlmutter,1953-05-01,M,2013-01-03,2015-01-03,CO,7,Democrat
Gary C. Peters,Gary,C.,Peters,1958-12-01,M,2013-01-03,2015-01-03,MI,14,Democrat
Collin C. Peterson,Collin,Clark,Peterson,1944-06-29,M,2013-01-03,2015-01-03,MN,7,Democrat
Thomas E. Petri,Thomas,E.,Petri,1940-05-28,M,2013-01-03,2015-01-03,WI,6,Republican
Pedro R. Pierluisi,Pedro,R.,Pierluisi,1959-04-26,M,2013-01-03,2017-01-03,PR,0,Democrat
Chellie Pingree,Chellie,,Pingree,1955-04-02,F,2013-01-03,2015-01-03,ME,1,Democrat
Joseph R. Pitts,Joseph,R.,Pitts,1939-10-10,M,2013-01-03,2015-01-03,PA,16,Republican
Ted Poe,Ted,,Poe,1948-09-10,M,2013-01-03,2015-01-03,TX,2,Republican
Jared Polis,Jared,,Polis,1975-05-12,M,2013-01-03,2015-01-03,CO,2,Democrat
Mike Pompeo,Mike,,Pompeo,1963-12-30,M,2013-01-03,2015-01-03,KS,4,Republican
Bill Posey,Bill,,Posey,1947-12-18,M,2013-01-03,2015-01-03,FL,8,Republican
David E. Price,David,E.,Price,1940-08-17,M,2013-01-03,2015-01-03,NC,4,Democrat
Tom Price,Tom,,Price,1954-10-08,M,2013-01-03,2015-01-03,GA,6,Republican
Mike Quigley,Mike,,Quigley,1958-10-17,M,2013-01-03,2015-01-03,IL,5,Democrat
Nick J. Rahall II,Nick,J.,Rahall,1949-05-20,M,2013-01-03,2015-01-03,WV,3,Democrat
Charles B. Rangel,Charles,B.,Rangel,1930-06-11,M,2013-01-03,2015-01-03,NY,13,Democrat
Tom Reed,Tom,W.,Reed,1971-11-18,M,2013-01-03,2015-01-03,NY,23,Republican
David G. Reichert,David,G.,Reichert,1950-08-29,M,2013-01-03,2015-01-03,WA,8,Republican
James B. Renacci,James,B.,Renacci,1958-12-03,M,2013-01-03,2015-01-03,OH,16,Republican
Reid J. Ribble,Reid,J.,Ribble,1956-04-05,M,2013-01-03,2015-01-03,WI,8,Republican
Cedric L. Richmond,Cedric,L.,Richmond,1973-09-13,M,2013-01-03,2015-01-03,LA,2,Democrat
E. Scott Rigell,E.,Scott,Rigell,1960-05-28,M,2013-01-03,2015-01-03,VA,2,Republican
